freq,word,year,type
21.75,duckface,2010,example
118.62,duckface,2011,example
1431.80,duckface,2012,example
1429.92,duckface,2013,example
800.83,duckface,2014,example
369.55,duckface,2015,example
296.23,duckface,2016,example
88.12,duckface,2017,example
68.65,duckface,2018,example
83.85,duckface,2019,example
49.67,duckface,2020,eample
2083.45,inclusive,2010,example
4644.90,inclusive,2011,example
6194.65,inclusive,2012,example
8700.62,inclusive,2013,example
8914.27,inclusive,2014,example
9619.35,inclusive,2015,example
11000.38,inclusive,2016,example
14505.88,inclusive,2017,example
24059.38,inclusive,2018,example
30965.40,inclusive,2019,example
44246.33,inclusive,2020,example
